IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;ATTRIB_RESS_NUM;DATE_DECLARATION_OPERATEUR
"DB systel GmbH";DBSY;;"252204770 Allemagne";"1 JUERGEN PONTO PLATZ 60329 FRANKFURT AM MAIN ALLEMAGNE";0;30/11/2018
"DE GRASSE Arnaud";DEGR;"518982517 00030";;"7 RUE MARCEL DUMAS 79160 FAYE SUR ARDIN";0;06/09/2010
"DEBITEX TELECOM";DETE;"514139799 00043";Nanterre;"124 BOULEVARD DE VERDUN 92400 COURBEVOIE";0;10/03/2010
"D\xe9l\xe9gation g\xe9n\xe9rale num\xe9rique";DGNU;"913612917 00017";Paris;"45 RUE D'ULM 75005 PARIS";0;11/07/2022
"Delta core";DLTC;"898526462 00012";Vienne;"42 RUE VICTOR HUGO 38200 VIENNE";0;31/01/2022
"Delta telecom";DEOM;"829715614 00014";Marseille;"1 AVENUE DE FUVEAU 13013 MARSEILLE";0;14/06/2017
Denaroo;DENA;"497830315 00014";PARIS;"155 RUE DU FAUBOURG SAINT-DENIS 75010 PARIS";0;06/11/2012
"D\xe9partement de l'Is\xe8re";CG38;"223800012 00658";Grenoble;"HOTEL DU DEPARTEMENT 7 RUE FANTIN LATOUR BP\xa01096 38022 GRENOBLE CEDEX 1";1;06/01/2014
"Destiny France Partenaires";OPEN;"482858339 00062";Nanterre;"37 RUE DE NEUILLY 92110 CLICHY";1;25/08/2006
"Destiny global infra services";DGIS;;"0663965691 Bruxelles, Belgique";"EXCELSIORLAAN 89 1930 ZAVENTEM BELGIQUE";1;24/05/2023
"Deutsche Telekom Global Business Solutions France";DTGB;"880138326 00033";Nanterre;"TOUR CB 21 16 PLACE DE L'IRIS 92400 COURBVOIE";1;13/05/2020
"DG conseil";DGCO;"821753811 00016";Marseille;"58 CHEMIN DES PRUD'HOMMES 13010 MARSEILLE";0;18/02/2019
"DGPO Telecom";DGPO;"939262762 00015";Paris;"60 RUE FRANCOIS 1ER 75008 PARIS";0;08/02/2025
"Diabolocom SAS";DIAB;"482652401 00035";NANTERRE;"18-20 RUE DE LA PAIX 75002 PARIS";1;09/07/2008
Diago;DIAG;"983782350 00018";Paris;"2 RUE DE LISBONNE 75008 PARIS";1;13/05/2024
"Dial once France";ONCE;"814431102 00049";Paris;"20 RUE THERESE 75001 PARIS";1;14/12/2022
Diallog;DLLG;"948460670 00011";Paris;"60 RUE FRANCOIS 1ER 75008 PARIS";0;29/03/2023
"Dialpad Inc.";DLPD;;"n\xb0 3570689 incorporated and registered in the State of Delaware, United States";"SUITE 400A 3001 BISHOP DRIVE 94583 SAN RAMON CA ETATS-UNIS";1;03/10/2022
Dialtech;DLTH;;12920110;"COVENT GARDEN 71-75 SHELTON STREET WC2H 9JQ LONDON ROYAUME-UNI";0;27/09/2022
DIATEM;DIAT;"443355987 00043";Strasbourg;"ESPACE EUROPEEN DE L'ENTREPRISE 2 RUE DE DUBLIN 67300 SCHILTIGHEIM";0;04/04/2006
"Did logic pte Ltd";DLPL;;201813377H;"176 JOO CHIAT ROAD 427447 SINGAPOUR SINGAPOUR";1;02/11/2022
Diday;DDAY;"851885178 00034";Paris;"65 BD DE SEBASTOPOL 75001 PARIS";0;09/03/2023
"DIDWW Ireland Limited";DIDW;;473521;"MALAHIDE 11 THE HAVEN K36 R983 CO. DUBLIN IRLANDE";1;20/10/2009
"DidXL B.V.";DDXL;;"014116763 Nijkerk, Pays-Bas";"BRAMENHOF 9 3862WR NIJKERK PAYS-BAS";1;29/06/2023
Digicall;DGLL;"793496530 00015";Toulouse;"7 RUE MOQUIN TANDON 31500 TOULOUSE";0;17/09/2018
"Digicel Antilles Fran\xe7aises Guyane";BUYC;"431416288 00022";Fort-de-France;"OASIS - QUARTIER BOIS ROUGE 97224 DUCOS";1;19/07/2001
"Digiclick CRM";DCLK;"834937070 00029";Paris;"BOITE 24 60 BOULEVARD DE MAGENTA 75010 PARIS";0;25/10/2021
Digidoc;DGDC;"839716255 00014";Nanterre;"144 AVENUE CAHRLES DE GAULLE 92200 NEUILLY-SUR-SEINE";0;24/06/2022
Digifrance;DFRA;"378214571 00036";Tarascon;"12 CHEMIN DU TEMPLE 13200 ARLES";1;14/04/2016
Digimium;DIMI;"824496194 00039";Nanterre;"146 RUE VICTOR HUGO 92300 LEVALLOIS-PERRET";1;02/01/2017
"Digiscan conseil";DGSC;"753994763 00039";Cr\xe9teil;"42-46 RUE EMILE ZOLA 94140 ALFORTVILLE";0;21/07/2022
"Digital Est";DIES;"880745112 00016";Belfort;"16 RUE DES DOLINES 25500 LE BELIEU";0;03/10/2020
"Digital info system";DIIS;"877920470 00011";Toulouse;"11 RUE EDMOND ROSTAND 31340 VILLEMUR SUR TARN";0;22/04/2022
"Digital integration";TLCZ;"898542469 00025";Paris;"38 RUE DE BERRI 75008 PARIS";1;01/10/2022
"Digital pro conseil";DIPC;"839166063 00017";Cr\xe9teil;"6 RUE DU 8 MAI 1945 94460 VALENTON";0;18/10/2022
Digitali;DIGT;"753767011 00012";Montpellier;"220 AVENUE BLAISE PASCAL 34170 CASTELNAU LE LEZ";0;17/09/2014
"Digitaltech France";DICE;"850357021 00037";Cr\xe9teil;"60 AVENUE CHARLES DE GAULLE 94550 CHEVILLY-LARUE";1;17/10/2019
"Digitel Solutions";PXYT;"914187877 00016";Epinal;"21 RUE DES CITES JACQUARD 88150 THAON LES VOSGES";0;11/02/2023
"Dimension Telecom";DIMT;"489333120 00025";Saint-Nazaire;"ZAC VAL ST-MARTIN - LE BOISMAIN ROUTE DE CHAUVE 44210 PORNIC";1;25/01/2016
"Dimoco messaging AG";DMOC;;FL-0002.466.595-3;"INDUSTRIERING 14 FL9491 RUGGELL LIECHTENSTEIN";0;29/03/2022
DIRECTELECOM;DITL;"802316349 00017";"Le Mans";"26 BOULEVARD PIERRE LEFAUCHEUX 72000 LE MANS";0;23/06/2016
DirectTel;DRTL;"883826349 00036";Bobigny;"19 AVENUE ALBERT EINSTEIN 93150 LE BLANC MESNIL";0;16/09/2020
Dirland;DIRL;"516580164 00098";Paris;"91 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS";1;12/06/2006
"DISTEO 2NSI";DI2N;"501475404 00023";MULHOUSE;"7 RUE DE ZIMMERSHEIM 68400 RIEDISHEIM";0;31/05/2013
"Dixa Aps";DXAA;;"CVR 36561009";"41A VIMMELSKAFTET 1161 COPENHAGUE DANEMARK";0;02/02/2023
Dixdata;DIXD;"443014238 00028";Marseille;"12 BOULEVARD D ATHENES 13001 MARSEILLE";0;18/03/2011
"DMF - Diffusion m\xe9dicale France";DMFR;"878583426 00019";Amiens;"ALLEE DE MAITRE ZACHARIUS 80440 GLISY";0;17/03/2023
"DMP Informatique";DMPI;"482623980 00034";Bordeaux;"15 BIS AVENUE DESCRATES 33370 ARTIGUES PRES BORDEAUX";0;25/03/2020
Docoon;DCOO;"338698384 00082";Paris;"81 RUE REAUMUR 75002 PARIS";1;13/03/2024
Domotec;DMTC;"349899443 00049";Nanterre;"58 AVENUE HENRI BARBUSSE 92140 CLAMART";0;30/06/2023
"Double clik";DBCK;"512913351 00049";MENDE;"27 AVENUE JEAN MOULIN 48000 MENDE";0;20/02/2024
"Dream's telecom";DREA;"807392550 00024";Nanterre;"87 RUE GABRIEL PERI 92120 MONTROUGE";0;01/02/2022
Driminfo;DRIMI;"498225846 00019";Arras;"4 RUE D'HOUVELIN 62150 BAJUS";0;24/05/2018
"DS CONSEILS";DSCO;"528995467 00016";Rouen;"703 RUE LES FRIES 76520 GOUY";0;03/01/2012
"DSP telecom";DSPM;"449638865 00021";Bayonne;"10 ALLEE DES BOIS DE FLORENCE 64600 ANGLET";0;08/06/2022
Dtsinfo;DTSI;"505130609 00058";Nanterre;"3 RUE DANTON 92240 MALAKOFF";0;08/07/2022
"DVS Connect";DVSC;"898483979 00016";Paris;"122 RUE AMELOT 75011 PARIS";1;28/04/2021
"Dynamik cloud & t\xe9l\xe9com";DYCL;"899361356 00012";Lyon;"18 AVENUE JACQUES CHIRAC 69520 GRIGNY";1;19/05/2021
"E maj";EMAJ;"440910024 00023";Metz;"156 RUE DE GRIGY 57070 METZ";0;12/12/2019
"e*Message Wireless Information Services France";EMES;"343393351 00063";Nanterre;"22 QUAI GALLIENI 92150 SURESNES";1;26/09/2000
"e-BO enterprises";EBOE;;"BE0470174242 Ypres";"60 TER WAARDE 8900 YPRES BELGIQUE";0;18/01/2016
E-concept;ECON;"503135063 00025";Alen\xe7on;"LA MAISON DU MULTIMEDIA 36 RUE DES FRERES NIVERD 61000 ALENCON";0;09/03/2022
E-Neolab;ENEO;"479985012 00026";Grasse;"120 ROUTES DES MACARONS 06560 VALBONNE";1;31/01/2006
E-OLYMPE;EOLY;"503884041 00016";TOULOUSE;"8 ESPLANADE COMPANS CAFFARELLI 31000 TOULOUSE";1;14/01/2021
E-VA;EVAE;"482963014 00030";Annecy;"9 CHEMIN DE LA CROIX SEYNOD 74000 ANNECY";0;28/02/2017
Eas'IA;ALOE;"947987830 00017";Toulouse;"IOT VALLEY 231 RUE PIERRE ET MARIE CURIE 31670 LABEGE";0;20/09/2024
Easio-com;EASO;"920041373 00019";Lorient;"392 BERLOCH 56440 LANGUIDIC";0;21/01/2024
"Easy service informatique";EASI;"441044047 00013";Paris;"4 RUE GALVANI 75017 PARIS";0;05/06/2019
"Easybell GmbH";EASB;;"HRB 137060 B";"5A BRUECKENSTRASSE 10179 BERLIN ALLEMAGNE";0;10/08/2022
"Easyfone GmbH";EASF;;"HRB36740 Germany";"FRITZ BOERNER STRASSE 5A 86929 PENZING BAYERN ALLEMAGNE";0;21/06/2023
Easylia;EAIA;"538981978 00033";Bordeaux;"8 RUE VERT CASTEL 33700 MERIGNAC";0;08/08/2014
Easymatique;ESYM;"523004125 00036";TOULOUSE;"BAT C  RDC 3 CHEMIN DU PIGEONNIER DE LA CEPIERE 31100 TOULOUSE";0;12/07/2021
Ebisca;EBIS;"808814891 00012";Montpellier;"48 RUE CLAUDE BALBASTRE 34070 MONTPELLIER";0;09/10/2018
EBSI;EBSI;"895250157 00016";Perpignan;"29 RUE DES VIGNES 66240 SAINT ESTEVE";0;24/07/2023
"Echovox SA";ECHO;;CH-660.1.980.000-3;"36 AVENUE CARDINAL MERMILLOD CH-1227 CAROUGE SUISSE";1;09/10/2018
Ecoburotic;ECOB;"439853136 00075";Valenciennes;"PA AERODROME OUEST 310 RUE MARC JODOT 59220 ROUVIGNIES";0;06/07/2021
Economictel;ECOC;"540036233 00026";Auxerre;"LA CHOUTIERE 89130 MEZILLES";0;01/06/2017
"Edel distribution";EDEL;"520351925 00034";Tours;"14 RUE DE LA CROIX DE BEAUCHENE 37150 BLERE";0;18/11/2021
Edgeminds;EDGM;519185136;Nanterre;"57 ESPLANADE DU GENERAL DE GAULLE 92081 PARIS LA DEFENSE CEDEX";0;19/10/2021
Effeweb;EFFW;"837976489 00018";Marseille;"DOMAINE SAINT-JEAN 350 AVENUE DE LA GROGNARDE 13011 MARSEILLE";0;08/09/2021
Efisens;EFIS;"443174875 00031";Paris;"7/11 RUE SAINTE-LUCIE 75015 PARIS";0;26/07/2016
"EG informatique";EGIN;"479107641 00025";Quimper;"9 RUE VICTOR HUGO 29120 PONT LABBE";0;14/02/2022
"eGroup technologies AG";EGRP;;"Amtsgericht Charlottenburg (Berlin) HRB 101380 B";"HAUPTSTRASSE 8 10827 BERLIN ALLEMAGNE";1;18/11/2022
"Eiffage Energie syst\xe8mes - R\xe9seau mobile";SNFT;"879916799 00114";Marseille;"LE TOTEM 40 BOULEVARD DUNKERQUE 13002 MARSEILLE 02";1;10/04/2020
"EIRL LAGRANGE Yoann";SAVB;"800819534 00036";BERGERAC;"27 ROUTE DE ROSETTE 24100 BERGERAC";0;11/10/2016
"Eis SRL";EISS;;"IT04219470236 Italie";"LARGO PERLAR 12 37135 VERONA ITALIE";1;22/02/2024
Ekost;EKST;"802185348 00017";Paris;"9 RUE DU QUATRE SEPTEMBRE 75002 PARIS";0;27/07/2021
ELIT-Technologies;ELTT;"498983329 00042";NANTERRE;"14 RUE DU SERGENT BOBILLOT 92400 COURBEVOIE";1;12/03/2013
"ELITE COMMUNICATIONS EUROPE";ELCO;;"0864233178 Belgique";"79 AVENUE EMILE MAX B-1030 BRUXELLES BELGIQUE";0;29/07/2009
"Elite informatique service";EISV;"482506912 00013";Marseille;"24 RUE CONDORCET 13016 MARSEILLE";0;15/05/2019
"EllaLink France";ELLA;"953591658 00018";Lyon;"66 RUE DU PRESIDENT EDOUARD HENRIOT 69002 LYON";0;19/02/2025
Eloquant;ELOQ;"434132155 00046";Grenoble;"5 ALLEE DE PALESTINE 38610 GIERES";1;26/03/2010
Eltel;ETEL;"833435019 00017";Fr\xe9jus;"131 AVENUE DE VERDUN 83600 FREJUS";1;26/03/2019
"Elyte technologies";ELYT;"834793283 00013";Bobigny;"77 RUE ROBESPIERRE 93100 MONTREUIL SOUS BOIS";0;16/06/2022
"Emrys la carte";EMRS;"803856764 00045";Annecy;"417 RTE DE MACULLY 74330 POISY";0;19/06/2023
"ENCOM CONSEIL";ENCO;"422469783 00050";PARIS;"159 RUE MONTMARTRE 75002 PARIS";0;16/11/2012
Enreach;NREA;"528655699 00031";Grasse;"BAT 4 SOPHIA-ANTIPOLIS 535 ROUTE DES LUCIOLES LES AQUEDUCS 06560 VALBONNE";1;09/04/2021
"Entratel services";ENTR;"423822394 00023";Bobigny;"9 RUE DE STALINGRAD 93100 MONTREUIL-SOUS-BOIS";0;31/12/2013
"Entreprise de telecommunication et maintenance (ETM)";ETMA;"343740999 00010";Paris;"26 RUE ALBERT 75013 PARIS";0;17/02/2022
"ENTREPRISE DECIMA";DECI;"561920190 00023";Arras;"ZI EST, FRAN\xc7OIS HENNEBICQUE BP 51 62025 SAINT LAURENT-BLANGY CEDEX";0;12/02/2009
"Entreprise PI";PIAN;"977556141 00017";Perpignan;"28 RUE PIERRE MENDES FRANCE 66110 AMELIE-LES-BAINS-PALALDA";0;09/04/2018
"Eone trade";EONE;"482367430 00030";Marseille;"17 RUE DE MADAGASCAR 13006 MARSEILLE";1;30/07/2007
"EPSILON TELECOMMUNICATIONS LIMITED";EPSI;;4505538;"TELEPHONE HOUSE - 3RD FLOOR 69-77 PAUL STREET EC2A 4NW LONDON ROYAUME-UNI";0;09/11/2006
Eptica;EPCA;"438993966 00052";"Nanterre, Paris";"63B RUE DE SEVRES 92100 PARIS";0;07/02/2024
Equation;EQUA;"332184639 00026";"Saint Etienne";"17 RUE DU TREYVE BP 101 42003 ST ETIENNE CEDEX 1";1;26/01/2007
Equipages;EQPG;"419451935 00045";Paris;"231 RUE SAINT-HONORE 75001 PARIS";0;29/06/2021
Ergatic;RGTC;"952266245 00010";Cr\xe9teil;"B2 12 VILLA SAINT PIERRE 94220 CHARENTON-LE-PONT";1;24/12/2024
"Eseye limited";ESEY;;"6397669 Angleterre";"SURREY RESEARCH PARK 8 FREDERICK SANGER ROAD GU2 7YD GUILDFORD SURREY ROYAUME-UNI";1;18/11/2014
\xe9simobile;ESIM;"985230739 00015";Paris;"33 RUE GEORGES LARDENNOIS 75019 PARIS";0;11/03/2024
"Espace Technologie";ESPA;"389793571 00024";"LA ROCHE-SUR-YON";"POLE ACTIV'OCEAN 9 RUE DU BOIS FOSSE BP 147 85300 CHALLANS";0;24/10/2013
"Essonne num\xe9rique Tr\xe8s Haut D\xe9bit";ENTH;"837759588 00028";Nanterre;"IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE 92310 SEVRES";0;28/02/2018
"ET conseil";ETCO;"504431883 00025";Toulouse;"LE PRE CATELAN - BATIMENT F 78 ALLEES JEAN JAURES 31000 TOULOUSE";0;20/05/2019
ETHERNXT;THXT;"932364532 00014";Grenoble;"38 RUE JOSEPH INCELET 38450 VIF";0;15/03/2025
"Etoile Di\xe8se";ETOI;"444118632 00017";Toulouse;"15 RUE ROGER MOMPEZAT 31500 TOULOUSE";1;27/02/2008
"Ets Conty";ECTY;"379770449 00021";"Le Mans";"6 RUE DE PROVENCE 72190 SAINT-PAVACE";0;10/01/2019
"Eure et Loir THD";EULH;"803204973 00033";Nanterre;"124 BOULEVARD DE VERDUN 92400 COURBEVOIE CEDEX";0;15/07/2014
"Eure Normandie THD";EURE;"850522103 00017";Versailles;"19 RUE STEPHENSON 78180 MONTIGNY-LE-BRETONNEUX";0;11/06/2019
"Eurelec r\xe9seaux et t\xe9l\xe9com";ERLC;"892494659 00022";Pau;"21 RUE ROGER SALENGRO 64000 PAU";0;19/12/2023
Euristel;EURS;"352068274 00039";Versailles;"10 RUE AUGUSTE BARTHOLDI 78420 CARRIERES SUR SEINE";1;21/10/2015
"Euro Disney Associ\xe9s SAS";DISN;"397471822 00114";Meaux;"1 ROND-POINT D'ISIGNY 77700 CHESSY";1;29/08/2024
"Euro information";EURN;"408172021 00060";Valenciennes;"55 BIS BOULEVARD WATTEAU 59300 VALENCIENES";0;13/11/2019
"Euro syst\xe8me d'information";ESIO;"798779393 00015";N\xeemes;"LE MAS DAVID 30360 VEZENOBRES";0;08/01/2016
"Euro web Partners";EUWE;"432173607 00024";PARIS;"10 RUE SAINT MARC 75002 PARIS";0;22/06/2021
Euroditel;EUEL;"321072159 00056";Bobigny;"19 RUE DU MARAIS 93100 MONTREUIL";0;20/01/2017
"Eurofiber France";EURA;"530018639 00019";Lille;"21 AVENUE DE LA CREATIVITE 59650 VILLENEUVE D ASCQ";1;18/02/2011
Euroline;ERLN;"981403546 00014";Montpellier;"42  RUE DE L AIGUILLERIE 34000 MONTPELLIER";1;28/12/2023
Eutelsat;EUTS;"422551176 00072";Nanterre;"32 BOULEVARD GALLIENI 92130 ISSY LES MOULINEAUX";0;16/07/2001
"Even media interactive";EVMI;"424818615 00025";Marseille;"12 BOULEVARD D'ATHENES 13001 MARSEILLE";1;30/10/2015
"Everlink services";EVSE;"804807451 00013";Paris;"26 RUE MARTIN BERNARD 75013 PARIS";0;25/10/2017
"EvolveIP Ltd";EVLV;;"UK Company Registration - 06781693, VAT Number ? 971 3684 93";"PARC NANTGARW 6 CEFN COED CF15 7QQ CARDIFF ROYAUME-UNI";1;18/11/2022
Evomunio;EVOM;"847931888 00014";Paris;"231 RUE SAINT-HONORE 75001 PARIS";0;16/06/2022
"Eway telecom";EWAY;"424203073 00020";Cr\xe9teil;"ZAC DES GRANDS GODETS 300 B RUE MARCEL PAUL 94500 CHAMPIGNY SUR MARNE";1;09/01/2009
"EXA Infrastructure France SAS";21CC;"428616577 00030";Bobigny;"34 RUE DES GARDINOUX 93300 AUBERVILLIERS";0;04/05/2000
"EXA Infrastructure Netherlands II BV";KPNE;;"27252281 Pays-Bas";"2516 CK 'S-GRAVENNHAGE MAANPLEIN 55 POSTBUS 30000 2500 GA DEN HAAG PAYS-BAS";1;06/03/2003
Excentre;EXCE;"488157819 00027";Grenoble;"10 ROUTE DU CHARMAY 38490 CHARANCIEU";1;19/05/2011
"Exelient ways Ltd";EXEL;;IE640759;"GROUND FLOOR 71 LOWER BAGGOT STREET D02 P593 DUBLIN IRLANDE";1;23/01/2019
"Exovision Syst\xeames d'information";EXOV;"520078205 00017";Pontoise;"51 RUE HOUDART 95700 ROISSY EN FRANCE";0;02/03/2023
Expert-telecom;EPTC;"487719619 00032";Dunkerque;"96 ROUTE DE L EUROPE 59122 OOST-CAPPEL";0;26/08/2015
Extratis;EXTR;"442600516 00037";Nanterre;"11 RUE MASSENET 92330 SCEAUX";0;17/12/2021
"Eyes telecom";EYES;"532103165 00017";Tours;"4 RUE DES INTERNAUTES 37210 ROCHECORBON";1;09/06/2011
"F.L.A.G technologies";FLAG;"908355100 00011";Strasbourg;"17 RUE DE ROSHEIM 67000 STRASBOURG";0;24/05/2022
F.M.B.;FMBF;"384948337 00033";Montpellier;"105 RUE DU MAQUET 34920 LE CRES";0;05/02/2020
"Factoria telecom";FACT;"828115741 00054";Nanterre;"20 AVENUE MARCEL DASSAULT 92100 BOULOGNE-BILLANCOURT";0;29/11/2017
Faircom;FAIR;"799765003 00022";Nanterre;"114 RUE DE VERDUN 92800 PUTEAUX";0;13/11/2019
FAKTORI;FAKT;"502863889 00031";BAYONNE;"ZAC DE MAIGNON 5 RUE MARYSE BASTIE 64600 ANGLET";0;04/02/2013
Fastwan;FAWA;"823838685 00068";Nantes;"9 RUE MARIA TELKES 44119 TREILLIERES";0;13/06/2017
"Faucigny Gli\xe8res Fibre";FAGL;"918945726 00019";Nanterre;"155 BIS AVENUE PIERRE BROSSOLETTE 92120 MONTROUGE";0;21/10/2022
"Faurie network";FAUR;"793031626 00013";Brive;"8 RUE PHILEMON LABAUDINIERE 19100 BRIVE-LA-GAILLARDE";0;31/08/2017
Fautech;FTCH;"479355067 00022";Cherbourg;"18 PLACE JEAN JAURES 50100 CHERBOURG-EN-COTETIN";0;13/04/2023
"FC telecom";FCTE;"485329536 00042";Bobigny;"97 AVENUE DE NONNEVILLE 93600 AULNAY-SOUS-BOIS";1;12/04/2017
"FCC Informatique";FCCI;"419819388 00036";Metz;"ZAC D AUGNY 2000 RUE DU PRAYON 57685 AUGNY";0;27/12/2022
"Febo telecom limited";FEBO;;"HE 303614";"APOLLO COURT / 6TH FL. / OFFICE 602 232 ARCH MAKARIOU III AVE 3030 LIMASSOL CHYPRE";1;17/09/2015
"FEO TELECOM CONSEIL";FEOT;"749866224 00019";PARIS;"85 RUE DU TEMPLE 75003 PARIS";0;13/03/2012
Fiber64;OPDC;"953998739 00023";PARIS;"12 BIS CHEMIN DES BARTHES 64100 BAYONNE";1;08/11/2023
"Fibre 31";FI31;"824290969 00016";Evreux;"9200 VOIE DES CLOUETS 27100 VAL-DE-REUIL";0;26/07/2018
"Fibre agglo Forbach";FAFO;"820095735 00016";Sarreguemines;"110 RUE DES MOULINS CS 70341 57608 FORBACH";0;30/05/2016
"Fibre bureautiqeu services";FBSR;"885257915 00011";SAINTES;"21 BOULEVARD PASTEUR 17600 SAUJON";0;10/05/2022
Fibre44;FI44;"884836065 00034";Versailles;"ZAC ANTARES 2 RUE JUPITER 44470 CARQUEFOU";0;21/07/2020
"Fiducial cloud";NXTO;"480650712 00049";Nanterre;"41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE";1;22/10/2012
"First call";FICL;"952411072 00012";Antibes;"25 AVENUE DE VERDUN 06800 CAGNES-SUR-MER";0;12/06/2023
"Five9 GmbH";FVE9;;"HRB 277023";"BRIENNER STRASSE 45D 80333 MUENCHEN ALLEMAGNE";1;06/12/2022
FiveHost;FHST;"930088562 00010";Pontarlier;"2 PLACE DE LA CROIX DU TOUVRET 25330 FERTANS";0;01/06/2025
Fixxi;FXXI;"949581706 00015";Paris;"7 RUE DE CASTELLANE 75008 PARIS";0;17/03/2023
FlashCall;FLCA;"908685340 00014";Paris;"47 BOULEVARD DE COURCELLES 75008 PARIS";1;24/05/2022
"Flex network";FLEX;"529820805 00032";Nanterre;"202 QUAI DE CLICHY 92110 CLICHY";1;14/04/2011
"Flow line technologies";FLES;"801352329 00016";Lyon;"4 RUE MARYSE BASTIE 69500 BRON";0;30/05/2016
"FMI Telecom";FMIT;"522915248 00010";PARIS;"8 RUE DE CHATEAUDUN 75009 PARIS";0;06/11/2012
"Foliateam cloud";CIRQ;"519120752 00059";Cr\xe9teil;"82 RUE GARIBALDI 94100 SAINT-MAUR-DES-FOSSES";1;14/01/2010
"Foliateam operateur";INIT;"440014678 00047";PARIS;"5-9 RUE MOUSSET ROBERT 75012 PARIS";1;16/09/2004
Foliateam-apps2com;APPS;"803041532 00091";Evry;"80 RUE GARIBALDI 94100 SAINT-MAUR-DES-FOSSES";1;05/12/2014
FONECLOUD;FNCL;"952717247 00011";Nice;"37 BOULEVARD DUBOUCHAGE 06000 NICE";0;10/11/2024
"Fonitex technologie";FNTX;"981728140 00022";PARIS;"9 RUE DES COLONNES 75002 PARIS";1;06/12/2024
"Four Telecom Services GmbH & Co. KG";FOUR;;"FN 253645h, Handelsgericht Innsbruck";"MAUTHFELD 13 6380 SANKT JOHANN IN TIROL TIROL AUTRICHE";0;06/10/2022
"Fourteen IP Hospitality Communications Europe Ltd";FIPH;;"Company Number 642920 - Dublin, Ireland";"17 RUE DE LA VANNE 92120 MONTROUGE";0;15/06/2021
Foxchip;FXCH;"480820364 00028";Evry;"24 RUE LAVOISIER 91540 MENNECY";0;08/06/2023
"France telephony";FETY;"502670318 00034";Nanterre;"70 RUE PAULINE BORGHESE 92200 NEUILLY-SUR-SEINE";1;03/10/2019
Free;FREE;"421938861 00034";Paris;"8, RUE DE LA VILLE L'EV\xcaQUE 75008 PARIS";1;09/11/1999
"Free Cara\xefbe";FRCA;"808537641 00033";Fort-de-France;"3 RUE DES SIX PONCHEVINS DES CARRIERES 97200 FORT-DE-FRANCE";1;16/05/2017
"Free dial";FRDI;"799285820 00012";Paris;"16 RUE VILLE L'EVEQUE 75008 PARIS";1;11/06/2020
"Free mobile";FRMO;"499247138 00013";PARIS;"16 RUE DE LA VILLE L'EV\xcaQUE 75008 PARIS";1;30/12/2009
"Free Pro";JAG;"439099656 00142";Salon;"3 RUE PAUL BRUTUS 13015 MARSEILLE 15";1;08/02/2006
"Free r\xe9seau";ONET;"419392931 00046";Paris;"16 RUE DE LA VILLE L'EV\xc8QUE 75008 PARIS";1;17/11/1998
"Freedom network";FRDO;"534974084 00020";Nanterre;"6 RUE DE SOTTEVILLE 92250 LA GARENNE-COLOMBES";1;10/10/2011
"FTN & co";FTNC;"790643951 00037";"RCS BOBIGNY";"12-34 RUE DES CHARDONNERETS BP 59424 93290 TREMBLAY-EN-FRANCE ROISSY CDG CEDEX";0;19/04/2022
"Fusion cloud services (Ireland) Limited";FUCL;;"729609 Ireland";"DAC BEACHCROFT THREE HADDINGTON BUILDINGS PERCY PLACE D04 T253 DUBLIN IRLANDE";0;30/05/2023
"Fuze Europe B.V.";FUZE;;"57702950 Pays-Bas";"DE LAIRESSESTRAAT 145C 1075 HJ AMSTERDAM PAYS-BAS";0;02/05/2016
Fynoxa;FYNX;"901591925 00010";Paris;"1 RUE DE MONCEAU 75008 PARIS";0;07/10/2021
G.Propulsion;GPRO;"948230040 00016";Bobigny;"21 RUE LAENNEC 93150 LE BLANC-MESNIL";0;29/05/2023
"G3 comms";G3CO;;"08110390 Registered in England and Wales";"PENTAGON HOUSE 52-54 SOUTHWARK STREET SE1 1UN LONDON ROYAUME-UNI";0;11/10/2017
"G9telecom S.A.";G9TL;;"504435302 Portugal";"76 RUA BERNARDIM RIBEIRO 3000 069 COIMBRA PORTUGAL";0;26/10/2023
"Galey Alex (EI)";GLEY;"893382721 00015";Laon;"8 RUE DE DORMANS 02330 CELLES LES CONDE";0;01/10/2024
"GALLIENNE Christophe";GAES;"450680558 00027";Pontoise;"5 RUE DE LA GRANDE OURSE BP 48513 95891 CERGY PONTOISE CEDEX";0;18/05/2022
"Gamma telecom limited";GATL;;"Pays de Galles numero 4340834";"5 FLEET PLACE EC4M 7RD LONDON ROYAUME-UNI";0;25/10/2016
"Gard Fibre";WIGA;"843093188 00012";Paris;"16 RUE DU GENERAL ALAIN DE BOISSIEU 75015 PARIS";0;28/12/2018
"Gascogne FttH";GASC;"509544607 00039";Auch;"47 AVENUE SAMBRE ET MEUSE 32000 AUCH";0;12/10/2016
Gavup;GAVP;;"207064908 SOFIA";"LIDITSE 29 1111 SOFIA BULGARIE";1;17/11/2023
Gbsinfo;GBSI;"827569161 00017";"Romans sur Is\xe8re";"4 LOTISSEMNT LES COLLINES DU GOLF 26240 BEAUSEMBLANT";0;26/07/2021
